Cep,Logradouro,Numero,Bairro,Cod Cidade,Cod Estado
1047909,Rua Marconi 124,,Centro,8966,26
1047910,Rua Marconi 131,,Centro,8966,26
1047911,Rua Marconi 138,,Centro,8966,26
1047912,Praça Dom José Gaspar 134,,República,8966,26
1048000,Rua Coronel Xavier de Toledo,- lado par,República,8966,26
1048100,Rua Coronel Xavier de Toledo,- lado ímpar,República,8966,26
1048900,Rua Coronel Xavier de Toledo 23,,Centro,8966,26
1048901,Rua Coronel Xavier de Toledo 105,,Centro,8966,26
1048902,Rua Coronel Xavier de Toledo 114,,Centro,8966,26
1048903,Rua Coronel Xavier de Toledo 161,,Centro,8966,26
1048904,Rua Coronel Xavier de Toledo 264,,Centro,8966,26
1048905,Rua Coronel Xavier de Toledo 280,,Centro,8966,26
1049000,Rua Formosa,,Centro,8966,26
1049010,Rua Quirino de Andrade,,Centro,8966,26
1049020,Largo da Memória,,Centro,8966,26
1049030,Ladeira da Memória,,Centro,8966,26
